"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Jay Bruce","- - -","589","7.5 %","21.4 %","0.35",".250",".309",".506",".815",".256","4.4",".266","-2.9","0.3","-0.3","80","10.4",".340","111","9892"
"Curtis Granderson","Mets","633","11.7 %","20.5 %","0.57",".237",".335",".464",".799",".228","4.4",".254","2.4","0.0","-0.3","86","11.0",".339","114","4747"
"Kendrys Morales","Royals","618","7.8 %","19.4 %","0.40",".263",".327",".468",".795",".204","0.8",".283","-2.3","-2.4","-0.3","83","10.6",".339","110","8610"
"Odubel Herrera","Phillies","656","9.6 %","20.4 %","0.47",".286",".361",".420",".781",".134","6.3",".349","-0.5","1.4","1.7","88","10.6",".338","110","11476"
"Rougned Odor","Rangers","632","3.0 %","21.4 %","0.14",".271",".296",".502",".798",".231","5.5",".297","1.7","2.7","-0.3","84","9.3",".336","106","12282"
"Logan Forsythe","Rays","567","8.1 %","22.4 %","0.36",".264",".333",".444",".778",".180","4.5",".314","2.7","-0.8","-1.6","75","8.2",".336","113","7185"
"Ian Desmond","Rangers","677","6.5 %","23.6 %","0.28",".285",".335",".446",".782",".162","6.0",".350","3.9","0.4","1.4","90","9.8",".336","106","6885"
"Martin Prado","Marlins","658","7.4 %","10.5 %","0.71",".305",".359",".417",".775",".112","2.6",".331","1.4","-2.3","-0.8","87","9.4",".335","109","3312"
"Cesar Hernandez","Phillies","622","10.6 %","18.6 %","0.57",".294",".371",".393",".764",".099","5.7",".363","2.4","1.0","-2.4","82","8.5",".335","108","10556"
"Adrian Gonzalez","Dodgers","633","8.7 %","18.5 %","0.47",".285",".349",".435",".784",".150","1.4",".328","-3.0","-0.7","-1.2","83","8.5",".334","112","1908"
"Matt Kemp","- - -","672","5.4 %","23.2 %","0.23",".268",".304",".499",".803",".231","2.2",".297","0.0","-0.4","-0.1","88","8.5",".333","109","5631"
"J.T. Realmuto","Marlins","545","5.1 %","18.3 %","0.28",".303",".343",".428",".771",".126","3.7",".357","1.2","-0.4","0.4","71","6.8",".333","107","11739"
"Brad Miller","Rays","601","7.8 %","24.8 %","0.32",".243",".304",".482",".786",".239","4.9",".277","0.6","1.7","-0.7","78","7.5",".333","111","12775"
"Adam Duvall","Reds","608","6.7 %","27.0 %","0.25",".241",".297",".498",".795",".257","5.3",".275","0.4","1.5","-1.1","79","7.4",".333","104","10950"
"Gregory Polanco","Pirates","587","9.0 %","20.3 %","0.45",".258",".323",".463",".786",".205","5.6",".291","-1.0","0.7","0.7","75","6.3",".331","108","12907"
"Albert Pujols","Angels","650","7.5 %","11.5 %","0.65",".268",".323",".457",".780",".189","2.5",".260","-5.2","-1.3","0.5","83","6.7",".331","111","1177"
"Marcell Ozuna","Marlins","608","7.1 %","18.9 %","0.37",".266",".321",".452",".773",".187","3.6",".296","0.2","0.5","-1.5","77","5.9",".330","105","10324"
"Justin Upton","Tigers","626","8.0 %","28.6 %","0.28",".246",".310",".465",".775",".219","4.2",".301","1.7","0.0","-0.1","79","5.8",".329","105","5222"
"Andrew McCutchen","Pirates","675","10.2 %","21.2 %","0.48",".256",".336",".430",".766",".174","3.4",".297","-1.5","0.5","-2.0","85","5.9",".329","106","9847"
"Jayson Werth","Nationals","606","11.7 %","22.9 %","0.51",".244",".335",".417",".752",".173","3.4",".288","3.8","-1.7","0.2","76","4.6",".327","101","1327"
"Joe Mauer","Twins","576","13.7 %","16.1 %","0.85",".261",".363",".389",".752",".128","3.6",".301","-1.8","-0.4","0.0","72","4.1",".327","102","1857"
"Brandon Crawford","Giants","623","9.1 %","18.5 %","0.50",".275",".342",".430",".772",".156","5.9",".322","0.8","1.5","1.1","78","4.4",".327","107","5343"
"Yunel Escobar","Angels","567","7.1 %","11.8 %","0.60",".304",".355",".391",".745",".087","2.2",".339","-0.7","-3.3","-1.6","71","4.0",".327","108","4191"
"Troy Tulowitzki","Blue Jays","544","7.9 %","18.6 %","0.43",".254",".318",".443",".761",".189","1.5",".272","-1.8","-0.8","-0.1","68","3.8",".327","102","3531"
"Eric Hosmer","Royals","667","8.5 %","19.8 %","0.43",".266",".328",".433",".761",".167","2.8",".301","-2.4","-2.3","-0.6","83","4.4",".326","101","3516"
"Todd Frazier","White Sox","666","9.6 %","24.5 %","0.39",".225",".302",".464",".767",".239","4.0",".236","-0.3","0.5","0.6","83","4.2",".326","102","785"
"Angel Pagan","Giants","543","7.7 %","12.2 %","0.64",".277",".331",".418",".750",".141","5.9",".298","1.1","-0.3","1.1","66","2.5",".324","105","2918"
