"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"JC Ramirez","- - -","6.75","2.52","2.68","1.37","17.6 %","6.6 %","11.0 %",".249","1.26",".273","71.9 %","105","110","98","4.35","4.62","-0.27","4.12","3.81","8302"
"Yusmeiro Petit","Nationals","7.07","2.25","3.14","1.61","18.2 %","5.8 %","12.4 %",".272","1.36",".299","74.2 %","107","113","109","4.50","4.65","-0.15","4.50","4.06","4020"
"Antonio Bastardo","- - -","9.84","4.26","2.31","1.46","24.9 %","10.8 %","14.1 %",".230","1.36",".278","73.2 %","113","114","114","4.52","4.67","-0.15","4.72","3.96","8844"
"Jared Hughes","Pirates","5.16","3.34","1.55","0.91","13.2 %","8.6 %","4.7 %",".270","1.42",".295","80.7 %","75","116","115","3.03","4.68","-1.65","4.77","4.46","9325"
"Vance Worley","Orioles","5.43","3.48","1.56","1.11","14.4 %","9.3 %","5.2 %",".267","1.39",".291","84.2 %","74","110","117","3.20","4.80","-1.60","4.97","4.77","6435"
"Arquimedes Caminero","- - -","7.42","4.90","1.52","1.04","17.9 %","11.8 %","6.1 %",".277","1.65",".324","77.7 %","88","120","128","3.56","4.88","-1.32","5.33","4.79","8992"
"Erasmo Ramirez","Rays","6.25","2.75","2.27","1.48","16.5 %","7.3 %","9.2 %",".264","1.33",".285","79.9 %","98","119","104","4.02","4.92","-0.90","4.41","4.14","10314"
"Dillon Gee","Royals","5.71","2.77","2.06","1.38","14.7 %","7.1 %","7.6 %",".259","1.33",".274","85.5 %","80","119","118","3.46","4.97","-1.51","4.99","4.59","7396"
"Joe Smith","- - -","6.92","3.12","2.22","1.38","18.4 %","8.3 %","10.1 %",".244","1.25",".269","85.3 %","86","121","102","3.46","4.99","-1.53","4.31","4.02","3281"
"Carlos Villanueva","Padres","7.42","1.70","4.36","2.07","19.0 %","4.4 %","14.6 %",".293","1.39",".319","68.1 %","149","126","97","5.96","5.17","0.79","4.01","3.71","4138"
"Adam Warren","- - -","6.86","4.33","1.59","1.49","17.8 %","11.2 %","6.6 %",".245","1.41",".266","69.4 %","118","124","120","4.92","5.27","-0.35","5.02","4.71","9029"
"Josh Smith","Reds","7.66","4.01","1.91","1.74","19.4 %","10.1 %","9.3 %",".251","1.43",".275","75.4 %","115","125","114","4.88","5.35","-0.48","4.71","4.34","10946"
"Ross Ohlendorf","Reds","9.32","4.39","2.13","1.92","23.5 %","11.0 %","12.4 %",".234","1.39",".265","80.1 %","110","131","118","4.66","5.58","-0.92","4.89","4.13","8268"
"Mark Lowe","Tigers","8.94","3.83","2.33","2.19","21.9 %","9.4 %","12.5 %",".282","1.58",".319","61.1 %","168","132","112","7.11","5.66","1.45","4.76","4.07","7416"
"Matt Albers","White Sox","5.29","3.47","1.53","1.82","12.6 %","8.3 %","4.4 %",".317","1.72",".331","60.8 %","154","137","126","6.57","5.94","0.62","5.33","4.89","4300"
"Brett Oberholtzer","- - -","6.65","3.26","2.04","2.31","16.4 %","8.0 %","8.4 %",".288","1.55",".298","78.6 %","133","146","117","5.43","6.13","-0.70","4.86","4.48","3855"
"Kevin Jepsen","- - -","6.34","3.81","1.67","2.17","15.6 %","9.4 %","6.3 %",".305","1.67",".321","72.5 %","142","146","127","5.98","6.15","-0.17","5.39","4.93","6475"
